State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Rajasthan,Ajmer,"Madanganj Kishangarh APMC","Cummin Seed(Jeera)",Other,Local,30/01/2026,17000,17000,17000
Rajasthan,Ajmer,"Madanganj Kishangarh APMC","Bajra(Pearl Millet/Cumbu)",Other,Local,30/01/2026,1969,2101,1986
Assam,Nagaon,"Ambagan APMC",Cauliflower,Cauliflower,FAQ,30/01/2026,1150,1400,1250
Assam,Nagaon,"Ambagan APMC","Green Chilli","Green Chilly",FAQ,30/01/2026,2600,2800,2700
Assam,Sibsagar,"Sibsagar APMC","Green Chilli","Green Chilly",FAQ,30/01/2026,7000,8000,7500
Assam,Sibsagar,"Sibsagar APMC","Bitter gourd","Bitter Gourd",FAQ,30/01/2026,4200,4800,4500
"Madhya Pradesh",Badwani,"Sendhwa(F&amp;V) APMC","Sponge gourd","Sponge gourd",Local,30/01/2026,1200,1400,1300
"Madhya Pradesh",Badwani,"Sendhwa(F&amp;V) APMC","Bottle gourd","Bottle Gourd",Local,30/01/2026,900,1100,1000
Assam,Nagaon,"Doomdumia APMC",Cabbage,Cabbage,FAQ,30/01/2026,1000,1250,1100
"Madhya Pradesh",Seoni,"Seoni(F&V) APMC",Onion,Medium,"Grade B",30/01/2026,1186,1186,1186
"Himachal Pradesh",Bilaspur,"PMY Bilaspur",Pomegranate,Pomogranate,"Grade B",30/01/2026,11000,19000,15000
"Himachal Pradesh",Bilaspur,"PMY Bilaspur",Orange,Orange,"Grade C",30/01/2026,6000,8000,7000
"Himachal Pradesh",Bilaspur,"PMY Bilaspur",Onion,Other,"Grade B",30/01/2026,2400,2900,2500
"Himachal Pradesh",Bilaspur,"PMY Bilaspur","Peas cod",Other,Medium,30/01/2026,2500,3200,2600
Uttarakhand,Udhamsinghnagar,"Nanakmatta APMC",Paddy(Common),Common,Local,30/01/2026,1800,1900,1850
Gujarat,Surat,"Surat APMC",Cauliflower,Cauliflower,FAQ,30/01/2026,2000,5000,3500
Gujarat,Surat,"Surat APMC",Papaya(Raw),Other,FAQ,30/01/2026,700,1500,1100
Gujarat,Surat,"Surat APMC",Onion,Other,FAQ,30/01/2026,400,2000,1200
Gujarat,Surat,"Surat APMC",Mango(Raw-Ripe),Other,FAQ,30/01/2026,14000,17000,15500
Gujarat,Surat,"Surat APMC",Ridgeguard(Tori),Other,FAQ,30/01/2026,3000,9000,6000
"Jammu and Kashmir",Udhampur,"Udhampur APMC",Brinjal,Other,"Grade B",30/01/2026,2800,2800,2800
"Jammu and Kashmir",Udhampur,"Udhampur APMC","Bhindi(Ladies Finger)",Other,"Grade B",30/01/2026,5500,5500,5500
Punjab,Fazilka,"Fazilka APMC",Potato,Potato,FAQ,30/01/2026,1000,1000,1000
Punjab,Fazilka,"Fazilka APMC",Papaya,Other,Medium,30/01/2026,3500,3500,3500
Punjab,Fazilka,"Fazilka APMC",Kinnow,Kinnow,Medium,30/01/2026,3500,3500,3500
Punjab,Ludhiana,"Khanna APMC",Apple,Apple,"Grade A",30/01/2026,8000,8000,8000
Punjab,Ludhiana,"Khanna APMC",Brinjal,Round/Long,"Grade A",30/01/2026,600,600,600
Punjab,Patiala,"Patran APMC","Bhindi(Ladies Finger)",Other,"Grade A",30/01/2026,6479,6479,6479
Punjab,Patiala,"Patran APMC",Capsicum,Other,"Grade A",30/01/2026,3370,3370,3370
Rajasthan,Jaipur,"Jaipur (Grain) APMC","Bajra(Pearl Millet/Cumbu)",Local,"Grade Range-2",30/01/2026,1930,1930,1930
Uttarakhand,Udhamsinghnagar,"Kicchha APMC",Carrot,Carrot,Local,30/01/2026,900,1100,1000
Uttarakhand,Udhamsinghnagar,"Kicchha APMC",Apple,Delicious,Medium,30/01/2026,3800,4200,3900
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC",Rice,Fine,FAQ,30/01/2026,4200,4400,4300
"West Bengal",Medinipur(E),"Tamluk (Medinipur E) APMC",Brinjal,Brinjal,FAQ,30/01/2026,2400,2800,2600
Uttarakhand,Udhamsinghnagar,"Rudrapur APMC",Pumpkin,Other,Medium,30/01/2026,1000,1500,1200
Uttarakhand,Udhamsinghnagar,"Rudrapur APMC",Cucumbar(Kheera),Other,Medium,30/01/2026,1000,1500,1200
Uttarakhand,Udhamsinghnagar,"Rudrapur APMC","French Beans(Frasbean)",Other,Medium,30/01/2026,2000,3000,2500
Uttarakhand,Udhamsinghnagar,"Rudrapur APMC","Peas Wet",Other,Medium,30/01/2026,1500,2000,1800
Haryana,Rewari,"Rewari APMC",Apple,Apple,Medium,30/01/2026,5000,13000,9000
Gujarat,Surendranagar,"Sayala APMC",Cotton,Other,Local,30/01/2026,7028,7800,7500
Haryana,Panipat,"Panipat APMC",Pomegranate,Pomogranate,Local,30/01/2026,6000,10000,8000
Haryana,Panipat,"Panipat APMC",Chikoos(Sapota),Sapota,Local,30/01/2026,2800,3000,2900
Haryana,Panipat,"Panipat APMC",Grapes,Other,Local,30/01/2026,5000,8000,6500
Haryana,Panipat,"Panipat APMC",Raddish,Other,Local,30/01/2026,500,1000,750
Punjab,Hoshiarpur,"Mukerian APMC","Field Pea","Field Pea","Grade B",30/01/2026,1500,2500,2000
Punjab,Hoshiarpur,"Mukerian APMC","Green Chilli","Green Chilly","Grade B",30/01/2026,6500,7500,7000
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Beans,"Beans (Whole)",Local,30/01/2026,4500,4800,4650
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,30/01/2026,4000,4600,4300
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Raddish,Raddish,Local,30/01/2026,2500,3000,2750
"Tamil Nadu",Coimbatore,"Sulur(Uzhavar Sandhai ) APMC",Mint(Pudina),Mint(Pudina),Local,30/01/2026,3000,3500,3250
Rajasthan,Jaisalmer,"Jaisalmer APMC",Potato,Potato,"Grade A",30/01/2026,1100,1300,1200
"Uttar Pradesh",Raebarelli,"Raibareilly APMC",Cucumbar(Kheera),Cucumbar,FAQ,30/01/2026,2300,2350,2325
"Uttar Pradesh",Raebarelli,"Raibareilly APMC",Spinach,Spinach,FAQ,30/01/2026,1060,1150,1100
